Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-24 13:48:00+02:00,123.87999725341797,123.9000015258789,123.87999725341797,123.9000015258789,0,0.0,0.0
2023-05-24 13:50:00+02:00,123.83999633789062,123.83999633789062,123.81999969482422,123.83999633789062,104,0.0,0.0
2023-05-24 13:51:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,120,0.0,0.0
2023-05-24 13:52:00+02:00,123.80000305175781,123.80000305175781,123.77999877929688,123.80000305175781,95,0.0,0.0
2023-05-24 13:54:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,112,0.0,0.0
2023-05-24 13:55:00+02:00,123.77999877929688,123.77999877929688,123.77999877929688,123.77999877929688,205,0.0,0.0
2023-05-24 13:57:00+02:00,123.77999877929688,123.77999877929688,123.77999877929688,123.77999877929688,2,0.0,0.0
2023-05-24 14:00:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,134,0.0,0.0
2023-05-24 14:01:00+02:00,123.77999877929688,123.80000305175781,123.76000213623047,123.80000305175781,1172,0.0,0.0
2023-05-24 14:02:00+02:00,123.77999877929688,123.81999969482422,123.77999877929688,123.81999969482422,235,0.0,0.0
2023-05-24 14:03:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,31,0.0,0.0
2023-05-24 14:05:00+02:00,123.83999633789062,123.83999633789062,123.80000305175781,123.80000305175781,1002,0.0,0.0
2023-05-24 14:06:00+02:00,123.81999969482422,123.81999969482422,123.81999969482422,123.81999969482422,552,0.0,0.0
2023-05-24 14:07:00+02:00,123.83999633789062,123.83999633789062,123.83999633789062,123.83999633789062,657,0.0,0.0
2023-05-24 14:08:00+02:00,123.83999633789062,123.87999725341797,123.83999633789062,123.87999725341797,1035,0.0,0.0
2023-05-24 14:09:00+02:00,123.91999816894531,123.91999816894531,123.87999725341797,123.87999725341797,387,0.0,0.0
2023-05-24 14:10:00+02:00,123.9000015258789,123.91999816894531,123.9000015258789,123.91999816894531,376,0.0,0.0
2023-05-24 14:11:00+02:00,123.94000244140625,123.94000244140625,123.91999816894531,123.91999816894531,422,0.0,0.0
2023-05-24 14:12:00+02:00,123.95999908447266,123.95999908447266,123.95999908447266,123.95999908447266,231,0.0,0.0
2023-05-24 14:14:00+02:00,123.94000244140625,123.94000244140625,123.94000244140625,123.94000244140625,130,0.0,0.0
2023-05-24 14:17:00+02:00,123.94000244140625,123.94000244140625,123.91999816894531,123.91999816894531,368,0.0,0.0
2023-05-24 14:18:00+02:00,123.9000015258789,123.9000015258789,123.9000015258789,123.9000015258789,6,0.0,0.0
2023-05-24 14:20:00+02:00,123.86000061035156,123.86000061035156,123.83999633789062,123.83999633789062,136,0.0,0.0
2023-05-24 14:22:00+02:00,123.83999633789062,123.83999633789062,123.83999633789062,123.83999633789062,35,0.0,0.0
2023-05-24 14:25:00+02:00,123.9000015258789,123.9000015258789,123.87999725341797,123.87999725341797,157,0.0,0.0
2023-05-24 14:30:00+02:00,123.72000122070312,123.72000122070312,123.72000122070312,123.72000122070312,550,0.0,0.0
2023-05-24 14:31:00+02:00,123.69999694824219,123.69999694824219,123.69999694824219,123.69999694824219,9,0.0,0.0
2023-05-24 14:33:00+02:00,123.66000366210938,123.66000366210938,123.66000366210938,123.66000366210938,10,0.0,0.0
2023-05-24 14:34:00+02:00,123.68000030517578,123.68000030517578,123.68000030517578,123.68000030517578,27,0.0,0.0
2023-05-24 14:40:00+02:00,123.73999786376953,123.73999786376953,123.73999786376953,123.73999786376953,55,0.0,0.0
2023-05-24 14:41:00+02:00,123.73999786376953,123.73999786376953,123.73999786376953,123.73999786376953,100,0.0,0.0
2023-05-24 14:42:00+02:00,123.73999786376953,123.73999786376953,123.73999786376953,123.73999786376953,29,0.0,0.0
2023-05-24 14:43:00+02:00,123.73999786376953,123.73999786376953,123.73999786376953,123.73999786376953,50,0.0,0.0
2023-05-24 14:44:00+02:00,123.77999877929688,123.81999969482422,123.77999877929688,123.80000305175781,1458,0.0,0.0
2023-05-24 14:45:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,111,0.0,0.0
2023-05-24 14:46:00+02:00,123.77999877929688,123.77999877929688,123.76000213623047,123.76000213623047,127,0.0,0.0
2023-05-24 14:50:00+02:00,123.86000061035156,123.86000061035156,123.86000061035156,123.86000061035156,275,0.0,0.0
2023-05-24 14:51:00+02:00,123.9000015258789,123.9000015258789,123.9000015258789,123.9000015258789,175,0.0,0.0
2023-05-24 14:53:00+02:00,123.9000015258789,123.9000015258789,123.9000015258789,123.9000015258789,124,0.0,0.0
2023-05-24 14:54:00+02:00,123.81999969482422,123.87999725341797,123.81999969482422,123.87999725341797,42,0.0,0.0
2023-05-24 14:55:00+02:00,123.81999969482422,123.81999969482422,123.80000305175781,123.80000305175781,210,0.0,0.0
2023-05-24 14:57:00+02:00,123.77999877929688,123.77999877929688,123.77999877929688,123.77999877929688,165,0.0,0.0
2023-05-24 14:59:00+02:00,123.77999877929688,123.77999877929688,123.77999877929688,123.77999877929688,25,0.0,0.0
2023-05-24 15:01:00+02:00,123.76000213623047,123.76000213623047,123.76000213623047,123.76000213623047,2,0.0,0.0
2023-05-24 15:04:00+02:00,123.80000305175781,123.80000305175781,123.80000305175781,123.80000305175781,42,0.0,0.0
2023-05-24 15:05:00+02:00,123.86000061035156,123.86000061035156,123.83999633789062,123.83999633789062,221,0.0,0.0
2023-05-24 15:06:00+02:00,123.87999725341797,123.87999725341797,123.87999725341797,123.87999725341797,21,0.0,0.0
2023-05-24 15:07:00+02:00,123.9000015258789,123.9000015258789,123.9000015258789,123.9000015258789,84,0.0,0.0
2023-05-24 15:08:00+02:00,123.91999816894531,123.91999816894531,123.91999816894531,123.91999816894531,42,0.0,0.0
2023-05-24 15:09:00+02:00,123.91999816894531,123.91999816894531,123.87999725341797,123.87999725341797,58,0.0,0.0
2023-05-24 15:10:00+02:00,123.9000015258789,123.9000015258789,123.86000061035156,123.86000061035156,384,0.0,0.0
2023-05-24 15:12:00+02:00,123.87999725341797,123.87999725341797,123.83999633789062,123.83999633789062,1000,0.0,0.0
2023-05-24 15:13:00+02:00,123.91999816894531,123.91999816894531,123.91999816894531,123.91999816894531,269,0.0,0.0
2023-05-24 15:14:00+02:00,123.91999816894531,123.91999816894531,123.9000015258789,123.9000015258789,101,0.0,0.0
2023-05-24 15:15:00+02:00,123.91999816894531,123.91999816894531,123.87999725341797,123.87999725341797,129,0.0,0.0
2023-05-24 15:16:00+02:00,123.86000061035156,123.86000061035156,123.86000061035156,123.86000061035156,60,0.0,0.0
